season,sort_key
1954/1955,1954/1955
1959/1960,1959/1960
1980/1981,1980/1981
1981/1982,1981/1982
1982/1983,1982/1983
1983/1984,1983/1984
1984/1985,1984/1985
1985/1986,1985/1986
1986/1987,1986/1987
1987/1988,1987/1988
1988/1989,1988/1989
1989/1990,1989/1990
1990/1991,1990/1991
1991/1992,1991/1992
1992/1993,1992/1993
1993/1994,1993/1994
1994/1995,1994/1995
1995/1996,1995/1996
1996/1997,1996/1997
1997/1998,1997/1998
1998/1999,1998/1999
1999/2000,1999/2000
2000/2001,2000/2001
2001/2002,2001/2002
2002/2003,2002/2003
2003/2004,2003/2004
2004/2005,2004/2005
2005/2006,2005/2006
2006/2007,2006/2007
2007/2008,2007/2008
2008/2009,2008/2009
2009/2010,2009/2010
2010/2011,2010/2011
2011/2012,2011/2012
2012/2013,2012/2013
2013/2014,2013/2014
2014/2015,2014/2015
2015/2016,2015/2016
2016/2017,2016/2017
2017/2018,2017/2018
2018/2019,2018/2019
2019/2020,2019/2020
2020/2021,2020/2021
2021/2022,2021/2022
2022/2023,2022/2023
2023/2024,2023/2024
2024/2025,2024/2025
2025/2026,2025/2026
2026/2027,2026/2027
