,community,label,n_leagues,total_inflow,top_3_leagues,n_countries
1,7,Italian,34,69729.0,Serie A | Serie B | Serie C - Girone B,4
2,8,British Isles,33,57220.0,Championship | League One | Premier League,5
3,1,Pan-American,94,48559.0,Liga MX Apertura | Primera Nacional | Major League Soccer,23
4,3,Lusophone & East Asian,70,43459.0,Campeonato Brasileiro Série A | Campeonato Brasileiro Série B | Liga Portugal,16
5,0,German–Austrian,136,40046.0,Bundesliga | 2. Bundesliga | 3. Liga,7
6,14,Turkish,10,32758.0,Süper Lig | 1.Lig | 2.Lig Kirmizi,1
7,5,Post-Soviet (CIS),47,32418.0,1.Division | Premier Liga | Premier Liga,15
8,6,Francophone,36,30747.0,Ligue 1 | Jupiler Pro League | Ligue 2,3
9,4,Balkan & E. Mediterranean,48,30653.0,Super League 1 | Football League | SuperLiga,18
10,12,Iberian,22,29537.0,LaLiga2 | LaLiga | Segunda División B - Grupo III (-20/21),4
11,2,Nordic–Dutch,78,24833.0,Eredivisie | Keuken Kampioen Divisie | Superliga,12
12,10,Czecho-Slovak,23,16688.0,Chance Liga | Chance Narodni Liga | PKO BP Ekstraklasa,5
13,11,MENA & African,23,13261.0,Saudi Pro League | UAE Pro League | Qatar Stars League,19
14,9,Swiss,26,10115.0,Super League | Challenge League | Promotion League,2
15,13,East Asian & Pacific,11,6242.0,Chinese Super League | China League One | China League Two A,2
16,15,3. deild,1,1.0,3. deild,1
17,16,A Lyga Übergangsrunde,1,1.0,A Lyga Übergangsrunde,1
